127.0.0.1, -, 26/05/05, 14:57:51, W3SVC, VIVASANMARTIN, 127.0.0.1, 37898, 460, 1485, 200, 0, GET, /HtmlaScripts/wsadmin.dll, groupmain,
127.0.0.1, -, 26/05/05, 14:57:52, W3SVC, VIVASANMARTIN, 127.0.0.1, 38195, 282, 472, 200, 0, GET, /htmla/users0.gif, -,
127.0.0.1, -, 26/05/05, 14:57:52, W3SVC, VIVASANMARTIN, 127.0.0.1, 222, 283, 480, 200, 0, GET, /htmla/groups1.gif, -,
127.0.0.1, -, 26/05/05, 14:57:58, W3SVC, VIVASANMARTIN, 127.0.0.1, 5842, 459, 1488, 200, 0, GET, /HtmlaScripts/wsadmin.dll, usermain,
127.0.0.1, -, 26/05/05, 14:58:01, W3SVC, VIVASANMARTIN, 127.0.0.1, 9440, 461, 1576, 200, 0, GET, /HtmlaScripts/wsadmin.dll, usrgrpmain,
127.0.0.1, -, 26/05/05, 14:58:02, W3SVC, VIVASANMARTIN, 127.0.0.1, 361, 284, 495, 200, 0, GET, /htmla/usrgrp1.gif, -,
127.0.0.1, -, 26/05/05, 14:58:02, W3SVC, VIVASANMARTIN, 127.0.0.1, 371, 463, 1576, 200, 0, GET, /HtmlaScripts/wsadmin.dll, usrgrpmain,
127.0.0.1, -, 26/05/05, 14:58:10, W3SVC, VIVASANMARTIN, 127.0.0.1, 30, 567, 953, 200, 0, POST, /HtmlaScripts/wsadmin.dll, -,
127.0.0.1, -, 26/05/05, 14:58:20, W3SVC, VIVASANMARTIN, 127.0.0.1, 207, 278, 72, 304, 0, GET, /htmla/htmla.htm, -,
127.0.0.1, -, 26/05/05, 14:58:22, W3SVC, VIVASANMARTIN, 127.0.0.1, 2005, 325, 72, 304, 0, GET, /htmla/spec1.gif, -,
127.0.0.1, -, 26/05/05, 14:58:22, W3SVC, VIVASANMARTIN, 127.0.0.1, 1319, 326, 72, 304, 0, GET, /htmla/iis2_t.gif, -,
